Drake_(entertainer)	[20130606,20130615,20130610,20130601,20130602,20130611,20130609,20130612,20130603,20130608,20130607,20130613,20130604,20130605,20130614]	[11676,10354,14165,12331,12099,11652,11387,10700,12499,10859,12206,11377,11554,11798,11101]	175758	7432
Madonna_(entertainer)	[20130612,20130603,20130613,20130604,20130609,20130607,20130608,20130611,20130602,20130605,20130614,20130610,20130601,20130615,20130606]	[10449,12280,13404,10494,11107,9319,10808,9372,12119,10315,12372,10010,10270,11432,9485]	163236	14672
Pitbull_(entertainer)	[20130606,20130615,20130602,20130611,20130610,20130601,20130613,20130604,20130607,20130612,20130603,20130605,20130614,20130608,20130609]	[10316,7771,9372,7798,8773,9947,7050,8445,8334,7531,9155,8990,7247,7693,9449]	127871	-1247
Usher_(entertainer)	[20130612,20130603,20130601,20130610,20130615,20130606,20130609,20130607,20130613,20130604,20130608,20130611,20130602,20130614,20130605]	[7827,7230,6144,5933,6020,6006,5627,5327,5860,8312,5483,13878,6252,6193,7580]	103672	9970
Chris_Brown_(American_entertainer)	[20130607,20130606,20130615,20130614,20130605,20130603,20130612,20130604,20130613,20130608,20130601,20130610,20130602,20130611,20130609]	[6239,6246,5595,5852,6379,6451,5825,5921,6004,5824,5841,6158,5932,5920,5843]	90030	4012
John_Oliver_(entertainer)	[20130603,20130612,20130602,20130611,20130607,20130608,20130614,20130605,20130609,20130606,20130615,20130601,20130610,20130613,20130604]	[876,7072,513,7893,2660,2787,5984,2648,1872,1872,4165,732,2477,12116,1689]	55356	33376
Common_(entertainer)	[20130601,20130610,20130608,20130609,20130615,20130606,20130614,20130605,20130612,20130603,20130604,20130613,20130607,20130611,20130602]	[2421,2537,2894,2577,3199,2534,2731,2559,2490,2861,2413,2587,2279,2382,2844]	39308	3486
Rain_(entertainer)	[20130614,20130605,20130610,20130601,20130608,20130609,20130611,20130602,20130615,20130606,20130603,20130612,20130607,20130604,20130613]	[2296,2566,2553,2561,2514,2523,2380,2592,2254,2461,2673,2479,2419,2566,2336]	37173	1497
Ashanti_(entertainer)	[20130608,20130606,20130615,20130607,20130601,20130610,20130612,20130603,20130604,20130613,20130605,20130614,20130609,20130602,20130611]	[2064,2868,1768,2347,2350,3547,2699,2255,2070,2345,2775,1989,2164,3083,2751]	37075	1579
Billy_Porter_(entertainer)	[20130614,20130605,20130609,20130608,20130601,20130610,20130611,20130602,20130612,20130603,20130613,20130604,20130607,20130615,20130606]	[1111,524,700,362,198,20648,4311,220,1838,263,1404,290,449,755,557]	33630	28628
T.O.P_(entertainer)	[20130605,20130614,20130613,20130604,20130601,20130610,20130615,20130606,20130609,20130608,20130607,20130603,20130612,20130611,20130602]	[2124,2446,2153,2048,2516,2147,2249,2152,2028,2112,2080,2221,2128,2090,2382]	32876	1830
Eve_(entertainer)	[20130608,20130609,20130607,20130611,20130602,20130604,20130613,20130612,20130603,20130610,20130601,20130605,20130614,20130606,20130615]	[1990,1826,2064,1685,2026,2116,1428,1512,2175,2098,2335,1869,1493,2286,1604]	28507	-1235
Sinbad_(entertainer)	[20130609,20130608,20130603,20130612,20130605,20130614,20130613,20130604,20130607,20130615,20130606,20130602,20130611,20130601,20130610]	[1993,1391,1482,1332,1182,1093,1218,1325,1413,1372,1402,1467,1580,1206,1246]	20702	1748
Haha_(entertainer)	[20130614,20130605,20130609,20130610,20130601,20130604,20130613,20130611,20130602,20130612,20130603,20130608,20130607,20130615,20130606]	[1156,1199,1376,1284,1274,1445,1375,1203,1290,1171,1410,1392,1235,1257,1393]	19460	968
Belinda_(entertainer)	[20130615,20130606,20130602,20130611,20130605,20130614,20130601,20130610,20130612,20130603,20130607,20130613,20130604,20130609,20130608]	[1015,1003,1042,1283,949,1029,894,1266,1258,1105,980,1178,966,1224,1101]	16293	2415
Cytherea_(entertainer)	[20130611,20130602,20130603,20130612,20130605,20130614,20130613,20130604,20130607,20130608,20130610,20130601,20130606,20130615,20130609]	[1167,1037,1110,1029,1112,938,1011,1095,1037,1059,1177,1025,1062,1079,1066]	16004	1048
