Stokely_Carmichael	[20130611,20130602,20130612,20130603,20130607,20130604,20130613,20130609,20130608,20130601,20130610,20130606,20130615,20130614,20130605]	[816,697,786,1089,725,1028,718,610,457,520,815,1049,383,614,1123]	11430	-1032
Laura_Carmichael	[20130606,20130615,20130602,20130611,20130610,20130601,20130613,20130604,20130612,20130603,20130614,20130605,20130608,20130609,20130607]	[545,493,633,801,693,599,593,593,640,757,477,539,609,600,561]	9133	679
Hoagy_Carmichael	[20130612,20130603,20130605,20130614,20130613,20130604,20130606,20130615,20130601,20130610,20130602,20130611,20130608,20130609,20130607]	[443,535,476,456,457,523,532,529,533,542,611,565,463,535,462]	7662	318
Jesse_Carmichael	[20130604,20130613,20130606,20130615,20130605,20130614,20130607,20130608,20130612,20130603,20130611,20130602,20130609,20130601,20130610]	[463,395,426,384,440,591,439,356,469,526,561,582,407,448,441]	6928	280
Karmichael_Hunt	[20130608,20130613,20130604,20130607,20130609,20130611,20130602,20130610,20130601,20130605,20130614,20130606,20130615,20130612,20130603]	[706,172,216,128,247,154,253,169,487,363,137,259,601,137,193]	4222	424
Ricky_Carmichael	[20130608,20130606,20130615,20130614,20130605,20130609,20130611,20130602,20130601,20130610,20130612,20130603,20130604,20130613,20130607]	[157,183,155,221,318,182,177,167,182,197,244,213,178,374,197]	3145	269
Amy_Carmichael	[20130615,20130606,20130607,20130608,20130609,20130605,20130614,20130611,20130602,20130610,20130601,20130613,20130604,20130603,20130612]	[140,194,176,144,163,188,157,207,152,153,135,190,196,190,310]	2695	233
Ian_Carmichael	[20130602,20130611,20130610,20130601,20130609,20130615,20130606,20130603,20130612,20130607,20130608,20130614,20130605,20130604,20130613]	[134,304,151,114,117,174,118,147,369,149,104,233,122,135,221]	2592	754
Carmichael,_California	[20130615,20130606,20130607,20130614,20130605,20130609,20130608,20130610,20130601,20130602,20130611,20130612,20130603,20130613,20130604]	[149,194,178,200,194,133,136,206,101,128,199,195,197,156,207]	2573	175
Susie_Carmichael	[20130601,20130610,20130602,20130611,20130613,20130604,20130612,20130603,20130609,20130607,20130605,20130614,20130615,20130606,20130608]	[167,191,212,166,136,192,184,156,159,150,154,169,170,160,146]	2512	130
George_michael	[20130610,20130601,20130602,20130611,20130607,20130604,20130613,20130603,20130612,20130615,20130606,20130614,20130605,20130608,20130609]	[138,162,156,128,146,150,161,145,151,123,182,124,132,109,113]	2120	-26
