Root_mean_square	[20130614,20130605,20130606,20130615,20130612,20130603,20130601,20130610,20130613,20130604,20130607,20130609,20130608,20130611,20130602]	[2741,3479,3620,1494,3598,3395,1558,3345,3523,3733,2965,1649,1679,3413,1797]	41989	895
Chi-squared_test	[20130603,20130612,20130609,20130615,20130606,20130601,20130610,20130607,20130608,20130613,20130604,20130614,20130605,20130611,20130602]	[3092,3190,2036,1453,3264,1697,3157,2573,1548,3097,3312,2447,3113,3151,1958]	39088	1070
Chi-squared_distribution	[20130609,20130613,20130604,20130615,20130606,20130614,20130605,20130608,20130607,20130610,20130601,20130612,20130603,20130611,20130602]	[1419,2576,2917,1189,2676,2096,2879,1332,2175,2556,1497,2732,2738,2755,1595]	33132	178
Least_squares	[20130615,20130606,20130604,20130613,20130607,20130609,20130614,20130605,20130602,20130611,20130608,20130612,20130603,20130610,20130601]	[1020,2226,2321,2291,1900,1276,1770,2192,1349,2459,1104,2271,2299,2244,1194]	27916	954
Ordinary_least_squares	[20130602,20130611,20130607,20130610,20130601,20130609,20130606,20130615,20130605,20130614,20130604,20130613,20130608,20130603,20130612]	[1033,1635,1235,1588,890,929,1470,809,1460,1207,1536,1418,837,1372,1537]	18956	964
Pearson%27s_chi-squared_test	[20130608,20130609,20130604,20130613,20130612,20130603,20130610,20130601,20130607,20130611,20130602,20130606,20130615,20130614,20130605]	[690,932,1539,1235,1331,1438,1529,714,1218,1436,904,1436,447,908,1487]	17244	-228
Pounds_per_square_inch	[20130606,20130615,20130607,20130608,20130611,20130602,20130613,20130604,20130609,20130605,20130614,20130603,20130612,20130610,20130601]	[1319,590,1106,642,1441,731,1273,1376,709,1406,996,1291,1334,1344,562]	16120	538
Mean_squared_error	[20130605,20130614,20130601,20130610,20130615,20130606,20130608,20130607,20130609,20130612,20130603,20130611,20130602,20130604,20130613]	[1265,976,578,1281,602,1339,614,1076,787,1279,1264,1374,769,1415,1228]	15847	435
Foursquare	[20130602,20130611,20130605,20130614,20130615,20130606,20130609,20130607,20130608,20130610,20130601,20130604,20130613,20130612,20130603]	[787,1353,1142,1268,862,1073,911,930,660,1345,719,1109,1145,1109,1101]	15514	1792
Magic_square	[20130608,20130602,20130611,20130613,20130604,20130603,20130612,20130609,20130607,20130606,20130615,20130605,20130614,20130601,20130610]	[725,818,1112,1126,1030,977,1101,839,844,1155,898,1183,1016,740,1125]	14689	1195
Punnett_square	[20130604,20130613,20130609,20130603,20130612,20130607,20130605,20130614,20130608,20130601,20130610,20130615,20130606,20130611,20130602]	[1088,770,700,1099,852,658,1002,1124,471,467,932,753,889,882,751]	12438	530
Root-mean-square_deviation	[20130601,20130610,20130608,20130607,20130604,20130613,20130615,20130606,20130605,20130614,20130609,20130612,20130603,20130611,20130602]	[416,1023,420,856,960,932,325,1081,928,764,457,965,880,1048,419]	11474	394
Inverse-square_law	[20130607,20130608,20130612,20130603,20130602,20130611,20130606,20130615,20130609,20130613,20130604,20130601,20130610,20130614,20130605]	[720,547,934,1044,651,839,799,538,614,838,1047,528,804,678,866]	11447	137
Methods_of_computing_square_roots	[20130611,20130602,20130615,20130606,20130601,20130610,20130607,20130614,20130605,20130604,20130613,20130603,20130612,20130608,20130609]	[674,505,436,627,439,733,603,642,1928,618,708,642,628,459,575]	10217	-507
Missing_square_puzzle	[20130601,20130610,20130602,20130611,20130608,20130603,20130612,20130605,20130614,20130609,20130607,20130606,20130615,20130613,20130604]	[546,607,780,532,477,802,501,796,473,475,626,623,342,556,717]	8853	-927
T-square	[20130610,20130601,20130609,20130608,20130605,20130614,20130615,20130606,20130603,20130612,20130611,20130602,20130607,20130613,20130604]	[533,95,652,402,678,325,475,769,417,797,365,172,247,484,528]	6939	1127
Four_square	[20130610,20130601,20130605,20130614,20130607,20130606,20130615,20130603,20130612,20130613,20130604,20130609,20130608,20130611,20130602]	[366,299,499,363,525,419,237,438,401,410,448,278,323,332,323]	5661	-241
Sum_of_squares	[20130610,20130601,20130602,20130611,20130614,20130605,20130604,20130613,20130612,20130603,20130615,20130606,20130607,20130608,20130609]	[517,211,268,456,351,461,478,446,475,414,193,461,387,223,251]	5592	232
Residual_sum_of_squares	[20130609,20130603,20130612,20130613,20130604,20130608,20130611,20130602,20130607,20130615,20130606,20130610,20130601,20130605,20130614]	[303,400,404,393,436,204,437,317,383,204,409,447,235,451,290]	5313	51
Fast_inverse_square_root	[20130606,20130615,20130609,20130608,20130607,20130602,20130611,20130603,20130612,20130613,20130604,20130605,20130614,20130601,20130610]	[415,209,267,285,487,268,387,350,361,389,381,384,325,239,478]	5225	177
Linear_least_squares_(mathematics)	[20130601,20130610,20130609,20130602,20130611,20130606,20130615,20130604,20130613,20130614,20130605,20130607,20130603,20130612,20130608]	[178,387,200,207,431,425,157,433,386,338,392,376,385,412,191]	4898	106
Completing_the_square	[20130609,20130608,20130611,20130602,20130601,20130610,20130604,20130613,20130612,20130603,20130605,20130614,20130606,20130615,20130607]	[290,186,380,250,200,358,314,341,349,350,378,234,385,242,278]	4535	225
Partial_least_squares_regression	[20130609,20130612,20130603,20130607,20130608,20130606,20130615,20130602,20130611,20130610,20130601,20130613,20130604,20130605,20130614]	[173,368,324,317,169,410,133,181,355,390,170,352,368,425,299]	4434	44
American_Foursquare	[20130602,20130611,20130609,20130614,20130605,20130606,20130615,20130601,20130610,20130604,20130613,20130607,20130612,20130603,20130608]	[215,232,268,195,262,256,187,175,311,249,237,248,644,308,355]	4142	716
Latin_square	[20130607,20130615,20130606,20130602,20130611,20130608,20130610,20130601,20130609,20130612,20130603,20130614,20130605,20130604,20130613]	[245,230,319,191,304,182,290,189,185,334,304,270,303,311,322]	3979	255
List_of_city_squares_by_size	[20130609,20130604,20130613,20130607,20130612,20130603,20130608,20130601,20130610,20130606,20130615,20130611,20130602,20130614,20130605]	[203,453,221,172,324,301,218,234,234,194,180,279,279,199,405]	3896	-180
Town_square	[20130611,20130602,20130607,20130601,20130610,20130604,20130613,20130614,20130605,20130603,20130612,20130608,20130609,20130615,20130606]	[216,194,293,109,195,204,267,163,146,229,814,145,132,162,140]	3409	779
Try_square	[20130610,20130601,20130608,20130606,20130615,20130605,20130614,20130613,20130604,20130602,20130611,20130609,20130607,20130603,20130612]	[270,105,139,340,159,273,193,255,276,124,222,223,222,201,383]	3385	303
Root-mean-square_speed	[20130610,20130601,20130605,20130614,20130608,20130607,20130609,20130602,20130611,20130615,20130606,20130612,20130603,20130604,20130613]	[262,169,240,188,153,250,238,177,272,140,238,225,223,211,304]	3290	274
Least_mean_squares_filter	[20130601,20130610,20130611,20130602,20130612,20130603,20130604,20130613,20130609,20130607,20130605,20130614,20130606,20130615,20130608]	[133,283,287,138,254,310,278,244,136,203,294,179,260,110,108]	3217	-15
Generalized_least_squares	[20130612,20130603,20130611,20130602,20130601,20130610,20130607,20130615,20130606,20130609,20130613,20130604,20130608,20130605,20130614]	[257,263,213,165,137,229,225,134,269,170,265,264,127,267,204]	3189	9
Spongiforma_squarepantsii	[20130607,20130613,20130604,20130609,20130608,20130606,20130615,20130614,20130605,20130611,20130602,20130603,20130612,20130610,20130601]	[239,209,222,244,254,192,197,179,272,169,206,189,174,180,130]	3056	156
International_Church_of_the_Foursquare_Gospel	[20130601,20130610,20130614,20130605,20130606,20130615,20130608,20130609,20130612,20130603,20130602,20130611,20130607,20130604,20130613]	[167,253,184,217,185,181,159,184,240,212,224,179,173,226,222]	3006	198
Metre_per_second_squared	[20130609,20130602,20130611,20130601,20130610,20130607,20130614,20130605,20130608,20130606,20130615,20130612,20130603,20130613,20130604]	[187,174,177,128,225,182,173,264,141,202,148,227,234,207,237]	2906	64
Perfect_square	[20130607,20130609,20130601,20130610,20130611,20130602,20130606,20130615,20130605,20130614,20130604,20130613,20130608,20130603,20130612]	[161,151,128,225,228,150,196,143,215,186,216,268,160,224,222]	2873	293
Non-linear_least_squares	[20130611,20130602,20130610,20130601,20130607,20130615,20130606,20130614,20130605,20130612,20130603,20130609,20130608,20130613,20130604]	[267,97,224,100,224,96,211,198,264,198,257,104,133,230,238]	2841	59
Set_square	[20130603,20130612,20130604,20130613,20130614,20130605,20130609,20130602,20130611,20130601,20130610,20130606,20130615,20130608,20130607]	[244,177,215,173,143,232,173,168,169,104,198,206,136,136,162]	2636	-26
Steel_square	[20130608,20130609,20130604,20130613,20130605,20130614,20130610,20130601,20130607,20130612,20130603,20130606,20130615,20130611,20130602]	[137,130,209,219,161,180,251,124,116,207,187,151,161,199,135]	2567	401
Difference_of_two_squares	[20130609,20130614,20130605,20130615,20130606,20130602,20130611,20130610,20130601,20130607,20130613,20130604,20130612,20130603,20130608]	[153,100,194,92,190,103,186,269,73,120,342,200,224,199,112]	2557	399
Minimum_mean_square_error	[20130611,20130602,20130614,20130605,20130613,20130604,20130607,20130606,20130615,20130608,20130609,20130612,20130603,20130610,20130601]	[212,100,193,185,209,202,160,199,93,92,124,223,196,223,91]	2502	236
Candela_per_square_metre	[20130608,20130610,20130601,20130604,20130613,20130605,20130614,20130602,20130611,20130607,20130615,20130606,20130603,20130612,20130609]	[88,180,107,207,211,198,187,106,205,174,101,192,195,218,125]	2494	136
Total_sum_of_squares	[20130606,20130615,20130602,20130611,20130603,20130612,20130614,20130605,20130601,20130610,20130609,20130608,20130607,20130613,20130604]	[155,83,110,186,190,187,151,194,76,223,103,87,156,194,183]	2278	150
Kilogram-force_per_square_centimetre	[20130615,20130606,20130607,20130608,20130609,20130602,20130611,20130603,20130612,20130610,20130601,20130614,20130605,20130604,20130613]	[126,172,153,113,91,84,190,155,159,194,70,146,155,177,206]	2191	259
Infantry_square	[20130615,20130606,20130608,20130602,20130611,20130603,20130612,20130601,20130610,20130605,20130614,20130607,20130609,20130604,20130613]	[139,141,110,210,160,150,121,97,135,141,135,140,121,160,142]	2102	24
Recursive_least_squares_filter	[20130611,20130602,20130601,20130610,20130615,20130606,20130607,20130608,20130609,20130614,20130605,20130604,20130613,20130612,20130603]	[165,80,84,229,70,155,119,68,68,127,180,167,211,149,162]	2034	140
Polybius_square	[20130609,20130607,20130614,20130605,20130602,20130611,20130606,20130615,20130601,20130610,20130608,20130603,20130612,20130613,20130604]	[154,134,144,115,128,118,154,89,125,121,173,103,206,129,107]	2000	268
Explained_sum_of_squares	[20130601,20130610,20130612,20130603,20130614,20130605,20130615,20130606,20130609,20130608,20130613,20130604,20130607,20130611,20130602]	[80,184,145,123,107,165,71,145,117,96,149,150,132,165,80]	1909	159
Combination_square	[20130602,20130611,20130610,20130601,20130605,20130614,20130609,20130608,20130607,20130615,20130606,20130603,20130612,20130604,20130613]	[82,128,140,67,143,110,115,77,101,139,143,95,198,121,161]	1820	316
Total_least_squares	[20130606,20130615,20130607,20130608,20130603,20130612,20130611,20130602,20130609,20130614,20130605,20130601,20130610,20130604,20130613]	[155,73,128,48,114,107,177,66,63,131,153,63,137,129,193]	1737	121
Linear_least_squares	[20130605,20130614,20130604,20130613,20130609,20130607,20130615,20130606,20130610,20130601,20130608,20130602,20130611,20130603,20130612]	[126,126,152,144,70,122,73,137,137,49,77,86,175,117,142]	1733	155
Chi-square_test	[20130604,20130613,20130608,20130607,20130614,20130605,20130612,20130603,20130611,20130602,20130615,20130606,20130609,20130610,20130601]	[163,148,76,125,116,123,111,127,172,73,59,136,85,143,63]	1720	100
Root-mean-square_deviation_(bioinformatics)	[20130601,20130610,20130602,20130611,20130612,20130603,20130609,20130606,20130615,20130607,20130608,20130613,20130604,20130614,20130605]	[70,151,62,120,137,112,89,158,49,138,67,128,173,115,145]	1714	-2
Pearson's_chi-squared_test	[20130605,20130614,20130601,20130610,20130607,20130609,20130615,20130606,20130608,20130611,20130602,20130613,20130604,20130603,20130612]	[64,351,19,61,56,32,263,68,18,77,23,393,60,45,157]	1687	1017
Noncentral_chi-squared_distribution	[20130606,20130615,20130609,20130614,20130605,20130613,20130604,20130607,20130608,20130612,20130603,20130602,20130611,20130610,20130601]	[136,59,49,109,154,106,150,118,59,169,111,45,143,136,54]	1598	62
Diamond-square_algorithm	[20130602,20130611,20130601,20130610,20130604,20130613,20130605,20130614,20130609,20130608,20130615,20130606,20130607,20130612,20130603]	[99,138,85,134,88,97,92,90,113,76,87,81,91,107,118]	1496	188
